index,sepal_length,sepal_width,petal_length,petal_width,species,sum,full name
58,6.6,2.9,4.6,1.3,versicolor,,4.6 versicolor
59,5.2,2.7,3.9,1.4,versicolor,,3.9 versicolor
60,5,2,3.5,1,versicolor,,3.5 versicolor
61,5.9,3,4.2,1.5,versicolor,,4.2 versicolor
62,6,2.2,4,1,versicolor,,4 versicolor
63,6.1,2.9,4.7,1.4,versicolor,,4.7 versicolor
64,5.6,2.9,3.6,1.3,versicolor,,3.6 versicolor
65,6.7,3.1,4.4,1.4,versicolor,,4.4 versicolor
66,5.6,3,4.5,1.5,versicolor,,4.5 versicolor
67,5.8,2.7,4.1,1,versicolor,,4.1 versicolor
68,6.2,2.2,4.5,1.5,versicolor,,4.5 versicolor
69,5.6,2.5,3.9,1.1,versicolor,,3.9 versicolor
70,5.9,3.2,4.8,1.8,versicolor,,4.8 versicolor
71,6.1,2.8,4,1.3,versicolor,,4 versicolor
72,6.3,2.5,4.9,1.5,versicolor,,4.9 versicolor
73,6.1,2.8,4.7,1.2,versicolor,,4.7 versicolor
74,6.4,2.9,4.3,1.3,versicolor,,4.3 versicolor
75,6.6,3,4.4,1.4,versicolor,,4.4 versicolor
76,6.8,2.8,4.8,1.4,versicolor,,4.8 versicolor
77,6.7,3,5,1.7,versicolor,,5 versicolor
78,6,2.9,4.5,1.5,versicolor,,4.5 versicolor
79,5.7,2.6,3.5,1,versicolor,,3.5 versicolor
80,5.5,2.4,3.8,1.1,versicolor,,3.8 versicolor
81,5.5,2.4,3.7,1,versicolor,,3.7 versicolor
82,5.8,2.7,3.9,1.2,versicolor,,3.9 versicolor
83,6,2.7,5.1,1.6,versicolor,,5.1 versicolor
84,5.4,3,4.5,1.5,versicolor,,4.5 versicolor
85,6,3.4,4.5,1.6,versicolor,,4.5 versicolor
86,6.7,3.1,4.7,1.5,versicolor,,4.7 versicolor
87,6.3,2.3,4.4,1.3,versicolor,,4.4 versicolor
88,5.6,3,4.1,1.3,versicolor,,4.1 versicolor
89,5.5,2.5,4,1.3,versicolor,,4 versicolor
90,5.5,2.6,4.4,1.2,versicolor,,4.4 versicolor
91,6.1,3,4.6,1.4,versicolor,,4.6 versicolor
92,5.8,2.6,4,1.2,versicolor,,4 versicolor
93,5,2.3,3.3,1,versicolor,,3.3 versicolor
94,5.6,2.7,4.2,1.3,versicolor,,4.2 versicolor
95,5.7,3,4.2,1.2,versicolor,,4.2 versicolor
96,5.7,2.9,4.2,1.3,versicolor,,4.2 versicolor
97,6.2,2.9,4.3,1.3,versicolor,,4.3 versicolor
98,5.1,2.5,3,1.1,versicolor,,3 versicolor
99,5.7,2.8,4.1,1.3,versicolor,,4.1 versicolor
100,6.3,3.3,6,2.5,virginica,,6 virginica
101,5.8,2.7,5.1,1.9,virginica,,5.1 virginica
102,7.1,3,5.9,2.1,virginica,,5.9 virginica
103,6.3,2.9,5.6,1.8,virginica,,5.6 virginica
104,6.5,3,5.8,2.2,virginica,,5.8 virginica
105,7.6,3,6.6,2.1,virginica,,6.6 virginica
106,4.9,2.5,4.5,1.7,virginica,,4.5 virginica
107,7.3,2.9,6.3,1.8,virginica,,6.3 virginica
108,6.7,2.5,5.8,1.8,virginica,,5.8 virginica
109,7.2,3.6,6.1,2.5,virginica,,6.1 virginica
110,6.5,3.2,5.1,2,virginica,,5.1 virginica
111,6.4,2.7,5.3,1.9,virginica,,5.3 virginica
112,6.8,3,5.5,2.1,virginica,,5.5 virginica
113,5.7,2.5,5,2,virginica,,5 virginica
114,5.8,2.8,5.1,2.4,virginica,,5.1 virginica
115,6.4,3.2,5.3,2.3,virginica,,
116,6.5,3,5.5,1.8,virginica,,
117,7.7,3.8,6.7,2.2,virginica,,
118,7.7,2.6,6.9,2.3,virginica,,
119,6,2.2,5,1.5,virginica,,
120,6.9,3.2,5.7,2.3,virginica,,
121,5.6,2.8,4.9,2,virginica,,
122,7.7,2.8,6.7,2,virginica,,
123,6.3,2.7,4.9,1.8,virginica,,
124,6.7,3.3,5.7,2.1,virginica,,
125,7.2,3.2,6,1.8,virginica,,
126,6.2,2.8,4.8,1.8,virginica,,
127,6.1,3,4.9,1.8,virginica,,
128,6.4,2.8,5.6,2.1,virginica,,
129,7.2,3,5.8,1.6,virginica,,
130,7.4,2.8,6.1,1.9,virginica,,
131,7.9,3.8,6.4,2,virginica,,
132,6.4,2.8,5.6,2.2,virginica,,
133,6.3,2.8,5.1,1.5,virginica,,
134,6.1,2.6,5.6,1.4,virginica,,
135,7.7,3,6.1,2.3,virginica,,
136,6.3,3.4,5.6,2.4,virginica,,
137,6.4,3.1,5.5,1.8,virginica,,
138,6,3,4.8,1.8,virginica,,
139,6.9,3.1,5.4,2.1,virginica,,
140,6.7,3.1,5.6,2.4,virginica,,
141,6.9,3.1,5.1,2.3,virginica,,
142,5.8,2.7,5.1,1.9,virginica,,
143,6.8,3.2,5.9,2.3,virginica,,
144,6.7,3.3,5.7,2.5,virginica,,
145,6.7,3,5.2,2.3,virginica,,
146,6.3,2.5,5,1.9,virginica,,
147,6.5,3,5.2,2,virginica,,
148,6.2,3.4,5.4,2.3,virginica,,
149,5.9,3,5.1,1.8,virginica,,
,,,,,,,
